"productKey","brand","model","proposedImageSource","imageMode","rightsStatus","evidenceLocation","manufacturerPageUrl","attribution","verifiedAt","imageSha256","reviewedBy"
"autel-ds808s-bt","Autel","MaxiDAS DS808S-BT","/images/products/autel-ds808s-bt-official.png","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/DS808S-BT-1_563383d0-d054-43bf-9a02-771b111bd2df.png?v=1703493137","https://store.autel.com/products/maxidas-ds808s-bt","Product image: Autel.","2026-09-12T19:42:08.000Z","180B82AFB340B6862446E1C6F1BD81511757280F93677867324D26F6DABEC005","Codex (official-source verification)"
"autel-maxisys-ultra","Autel","MaxiSYS Ultra","/images/products/autel-maxisys-ultra-official.webp","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/MS_ULTRA.webp?v=1756108736","https://store.autel.com/products/autel-maxisys-ultra","Product image: Autel.","2026-09-12T19:42:08.000Z","0C4AFA7B85BBF5E301B4EF250C04810D2FA8602586D2533EA462A653FDC4D002","Codex (official-source verification)"
"autel-md909-pro","Autel","MaxiDiag MD909 Pro","/images/products/autel-md909-pro-official.webp","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/MD909_Pro-1.webp?v=1759990593","https://store.autel.com/products/maxidiag-md909-pro","Product image: Autel.","2026-09-12T19:42:08.000Z","44AB64D374398DF68B8369BC77F75D02FE046A7656CB4B31B94F09B3B162C0D3","Codex (official-source verification)"
"autel-mk900-bt","Autel","MaxiCOM MK900-BT","/images/products/autel-mk900-bt-official.png","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/MK900-BT_03_1.png?v=1732093424","https://store.autel.com/products/maxicom-mk900bt","Product image: Autel.","2026-09-12T19:42:08.000Z","604761A262470D5B7D5ACD2598CF822D6FBDACD621B4B66B3F23B53729F3E050","Codex (official-source verification)"
"autel-mx808s","Autel","MaxiCheck MX808S","/images/products/autel-mx808s-official.png","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/MX808S-01.png?v=1700467537","https://store.autel.com/products/autel-maxicheck-mx808","Product image: Autel.","2026-09-12T19:42:08.000Z","A517B4D3A2365C665023863E4ED138737627FCFF2CB71DDDA06CAA872C0A6E66","Codex (official-source verification)"
"autel-mx808s-ts","Autel","MaxiCheck MX808S-TS","/images/products/autel-mx808s-ts-official.webp","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/MX808S-TS-01.webp?v=1756181128","https://store.autel.com/products/maxicheck-mx808s-ts","Product image: Autel.","2026-09-12T19:42:08.000Z","3936D25CE3AFDDB13F6C023CFAE78BD9639DCBDF6CDBE1619404657C82D62666","Codex (official-source verification)"
"autel-mx900","Autel","MaxiCheck MX900","/images/products/autel-mx900-official.png","manufacturer_source","manufacturer_attributed_editorial","https://cdn.shopify.com/s/files/1/0502/1722/2337/files/MX900-01.png?v=1700740055","https://store.autel.com/products/maxicheck-mx900","Product image: Autel.","2026-09-12T19:42:08.000Z","2567B90D599CBF6B3B5CBC04C5D38D6A8E38E3DA4495DB973C4B7267AF4F072A","Codex (official-source verification)"
"autophix-7910p-plus","AUTOPHIX","7910P+","/images/products/autophix-7910p-plus-category.svg","site_owned","site_owned","/images/products/autophix-7910p-plus-category.svg","https://www.autophix.com/product/7910","Category illustration by Chassis Signal.","2026-09-12T19:42:08.000Z","AE785E1F9AC278565D1D83D488A0BB635BCFE5CEA72DA30ADB91B2031A4383EC","Codex (official-source verification)"
"creator-c310-plus","Creator","C310+","/images/products/creator-c310-plus-category.svg","site_owned","site_owned","/images/products/creator-c310-plus-category.svg","https://forobd2tool.com/wp-content/download/Creator%20C310%2B/c310_manual.pdf","Category illustration by Chassis Signal.","2026-09-12T19:42:08.000Z","ACC7BFF56D53F92020432EC1631873909E2F7A45F521FB7147AAC7BB3053AB88","Codex (official-source verification)"
"fluke-88v","Fluke","88V Deluxe Automotive Multimeter","/images/products/fluke-88v-kit-official.jpg","manufacturer_source","manufacturer_attributed_editorial","https://media.fluke.com/e61fff20-72b2-4d46-882c-b108006a5364_original__size.jpg","https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-88v-a-kit","Product image: Fluke.","2026-09-12T19:42:08.000Z","597324CC7F916526ECEF3CC6BA44F77B53B716E239B124B76543F28095DAC405","Codex (official-source verification)"
