"slug","oldPlacementCount","newPlacementCount","classification","products","placementTypes","reasonForAddedPlacement","status"
"autel-scanner-for-bmw","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiCheck MX808S, Autel MaxiCOM MK900-BT","comparison_card","(none — one placement sufficient)","OK"
"autophix-7910-vs-foxwell-nt530","1","1","ONE_PLACEMENT_SUFFICIENT","AUTOPHIX 7910P+","recommended_equipment","(none — one placement sufficient)","OK"
"bimmercode-pricing","1","2","TWO_PLACEMENTS_JUSTIFIED","OBDLink CX, OBDLink MX+","recommended_equipment + inline_cta","OBDLink MX+ — Broader-compatibility hardware path: CX answers ""the exact focused adapter for the BimmerCode setup described"" (compatibility/budget for a BMW-only owner); MX+ answers a separate reader question the article develops explicitly — ""do I need wider protocol/vehicle reach in the same chain?"". Both are named as supported paths in the article body and both are human-verified, linkable products.","OK"
"bimmercode-vs-carly","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bimmercode-vs-foxwell-nt530","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bimmercode-vs-protool","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bimmerlink-adapter","1","2","TWO_PLACEMENTS_JUSTIFIED","OBDLink CX, OBDLink MX+","recommended_equipment + inline_cta","OBDLink MX+ — Broader-network alternative adapter: The article develops a two-gate adapter decision: CX is the focused exact BimmerLink adapter (first decision), MX+ is the deliberately-scoped broader-network alternative (second, distinct decision). The approved mapping already lists MX+ as the alternative; surfacing it prevents an approved, reader-relevant option from being dropped.","OK"
"bimmerlink-pricing","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bimmerlink-vs-carly","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bimmerlink-vs-foxwell-nt530","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bimmerlink-vs-protool","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-battery-drain-diagnostic-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Fluke 88V Deluxe Automotive Multimeter","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-battery-registration-scanner","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
