"productKey","brand","model","category","source_article_count"
"ancel-bm700-pro","ANCEL","BM700 Pro","BMW diagnostic scanner","1"
"ancel-ds500bt","ANCEL","DS500BT","Wireless diagnostic tablet","0"
"autel-ds808s","Autel","DS808S","Diagnostic tablet","2"
"autel-ds808s-bt","Autel","MaxiDAS DS808S-BT","Wireless diagnostic tablet","1"
"autel-maxisys-ultra","Autel","MaxiSYS Ultra","Workshop diagnostic platform","1"
"autel-maxisys-ultra-s2","Autel","MaxiSys Ultra S2","Workshop diagnostic tablet","1"
"autel-md909-pro","Autel","MaxiDiag MD909 Pro","Diagnostic scanner","1"
"autel-mk808s","Autel","MK808S","Diagnostic tablet","8"
"autel-mk808s-ts","Autel","MK808S-TS","TPMS diagnostic tablet","1"
"autel-mk900","Autel","MaxiCOM MK900","Diagnostic tablet","7"
"autel-mk900-bt","Autel","MaxiCOM MK900-BT","Wireless diagnostic tablet","1"
"autel-mx808s","Autel","MaxiCheck MX808S","Diagnostic tablet","0"
"autel-mx808s-ts","Autel","MaxiCheck MX808S-TS","TPMS diagnostic tablet","0"
"autel-mx900","Autel","MaxiCheck MX900","Diagnostic tablet","4"
"autel-vcmi-2","Autel","VCMI 2","Vehicle communication interface","1"
"autophix-7910","AUTOPHIX","7910","BMW diagnostic scanner","2"
"autophix-7910p-plus","AUTOPHIX","7910P+","BMW diagnostic scanner","0"
"bimmergeeks-bluetooth-adapter","BimmerGeeks","Bluetooth Adapter","Bluetooth OBD adapter","1"
"bimmergeeks-expert-k-dcan","BimmerGeeks","Expert K+DCAN","USB diagnostic cable","2"
"bmw-enet-cable","Generic","BMW ENET cable","Ethernet diagnostic cable","8"
"bmw-icom-next","BMW","ICOM Next","Workshop diagnostic interface","3"
"carly-universal-scanner","Carly","Universal Scanner","Bluetooth OBD adapter","4"
"creator-c310-plus","Creator","C310+","BMW diagnostic scanner","4"
"fluke-88v","Fluke","88V Deluxe Automotive Multimeter","Automotive multimeter","0"
"foxwell-nt530","Foxwell","NT530","BMW diagnostic scanner","16"
"foxwell-nt530-plus","Foxwell","NT530 Plus","BMW diagnostic scanner","9"
"foxwell-nt710","Foxwell","NT710","BMW diagnostic scanner","4"
"foxwell-nt809bt","Foxwell","NT809BT","Multi-brand diagnostic tablet","4"
"icarsoft-bmm-v3","iCarsoft","BMM V3.0","BMW diagnostic scanner","3"
"innova-5610","Innova","5610","Diagnostic scanner","1"
"innova-5610-bundle","Innova","5610 + 3380 bundle","Diagnostic scanner and borescope bundle","0"
"k-dcan-cable","Generic","K+DCAN cable","USB diagnostic cable","4"
"launch-creader-elite-bmw","LAUNCH","Creader Elite BMW","BMW diagnostic scanner","1"
"launch-creader-elite-bmw-v2","LAUNCH","Creader Elite V2.0 for BMW","BMW diagnostic scanner","0"
"launch-creader-elite-x","LAUNCH","Creader Elite X","Diagnostic scanner","1"
"launch-crp919-max","LAUNCH","CRP 919 MAX","Diagnostic tablet","0"
"launch-crp919e-bt","LAUNCH","X-431 CRP919E BT","Wireless diagnostic tablet","0"
"launch-smartlink-c","LAUNCH","SmartLink C","Vehicle communication interface","1"
"launch-x431-pro-elite","LAUNCH","X-431 PRO ELITE","Workshop diagnostic tablet","1"
"launch-x431-pro3s-plus","LAUNCH","X-431 PRO3S+","Workshop diagnostic tablet","0"
"launch-x431-throttle-v","LAUNCH","X-431 Throttle V","Workshop diagnostic tablet","2"
"launch-x431-torque-link","LAUNCH","X-431 Torque Link","Vehicle communication interface","1"
"mhd-universal-wifi-adapter","MHD Tuning","Universal Wi-Fi Adapter","Wireless BMW diagnostic adapter","0"
"obdlink-cx","OBDLink","CX","Bluetooth OBD adapter","19"
"obdlink-ex","OBDLink","EX","USB OBD adapter","4"
"obdlink-lx","OBDLink","LX","Bluetooth OBD adapter","2"
"obdlink-mx-plus","OBDLink","MX+","Bluetooth OBD adapter","10"
"schumacher-inc100","Schumacher Electric","INC100","Programming power supply","0"
"unicarscan-ucsi-2100","UniCarScan","UCSI-2100","Bluetooth OBD adapter","4"
"vlinker-bm-plus","Vgate","vLinker BM+","Bluetooth OBD adapter","6"
"vlinker-mc-plus","Vgate","vLinker MC+","Wireless OBD adapter","4"
